iter,v1,v2,v3,v4,v5,fitness,p1,p2,p3,p4,p5,time
1,25.0,3.0,30.0,3.0,7.1,23788.5536108105,2638.6067200017196,4986.407275274159,4986.409525217708,5588.56247448885,5588.567615828063,519.26
2,25.0,3.0,30.0,3.0,7.1,23788.5536108105,2638.6067200017196,4986.407275274159,4986.409525217708,5588.56247448885,5588.567615828063,707.19
3,25.0,3.0,30.0,3.0,7.1,23788.5536108105,2638.6067200017196,4986.407275274159,4986.409525217708,5588.56247448885,5588.567615828063,943.12
4,25.0,3.0,30.0,3.0,7.1,23788.5536108105,2638.6067200017196,4986.407275274159,4986.409525217708,5588.56247448885,5588.567615828063,960.06
5,25.0,3.0,30.0,3.0,6.4,23926.323400888054,2792.655593120337,4873.209430784847,4873.218275381002,5693.626401061685,5693.613700540185,1195.43
6,25.0,3.0,30.0,3.0,6.4,23926.323400888054,2792.655593120337,4873.209430784847,4873.218275381002,5693.626401061685,5693.613700540185,1289.25
7,25.0,3.0,30.0,3.0,6.4,23926.323400888054,2792.655593120337,4873.209430784847,4873.218275381002,5693.626401061685,5693.613700540185,1340.12
8,3.0,3.0,30.0,3.0,17.0,24962.22848660937,7069.080860626486,4538.1890334948275,4538.185623414836,4408.382501095389,4408.390467977833,1352.75
9,3.0,3.0,30.0,3.0,17.0,24962.22848660937,7069.080860626486,4538.1890334948275,4538.185623414836,4408.382501095389,4408.390467977833,1286.99
10,3.0,3.2,30.0,3.0,13.3,25646.881159491008,5394.5920048146745,5103.389315306588,5103.389056980126,5022.752227869411,5022.758554520205,1257.33
11,3.0,3.2,30.0,3.0,13.3,25646.881159491008,5394.5920048146745,5103.389315306588,5103.389056980126,5022.752227869411,5022.758554520205,1288.24
12,3.0,3.2,30.0,3.0,13.3,25646.881159491008,5394.5920048146745,5103.389315306588,5103.389056980126,5022.752227869411,5022.758554520205,1289.84
13,3.0,3.2,30.0,3.0,13.3,25646.881159491008,5394.5920048146745,5103.389315306588,5103.389056980126,5022.752227869411,5022.758554520205,1318.60
14,3.0,3.2,30.0,3.0,13.3,25646.881159491008,5394.5920048146745,5103.389315306588,5103.389056980126,5022.752227869411,5022.758554520205,1272.13
15,3.0,3.2,30.0,3.0,13.3,25646.881159491008,5394.5920048146745,5103.389315306588,5103.389056980126,5022.752227869411,5022.758554520205,1287.85
16,3.0,3.2,30.0,3.0,13.3,25646.881159491008,5394.5920048146745,5103.389315306588,5103.389056980126,5022.752227869411,5022.758554520205,1302.22
17,3.0,3.2,30.0,3.0,13.3,25646.881159491008,5394.5920048146745,5103.389315306588,5103.389056980126,5022.752227869411,5022.758554520205,1385.09
18,3.0,3.2,30.0,3.0,13.3,25646.881159491008,5394.5920048146745,5103.389315306588,5103.389056980126,5022.752227869411,5022.758554520205,1259.85
19,3.0,3.2,30.0,3.0,13.3,25646.881159491008,5394.5920048146745,5103.389315306588,5103.389056980126,5022.752227869411,5022.758554520205,1335.50
20,3.0,3.0,30.0,3.3,12.8,25675.766900287093,4969.935962969308,5067.390688564434,5067.399864638355,5285.5198061933215,5285.520577921673,1257.82
21,3.0,3.0,30.0,3.0,12.6,25784.255553833318,4979.1908466860195,5231.145561182633,5231.137519542933,5171.388187937868,5171.393438483866,1148.29
22,3.0,3.0,30.0,3.0,12.1,25825.316029188027,4718.253588662712,5266.560579348321,5266.558796403038,5286.965278930711,5286.9777858432435,1275.02
23,3.0,3.0,30.0,3.0,12.1,25825.316029188027,4718.253588662712,5266.560579348321,5266.558796403038,5286.965278930711,5286.9777858432435,1258.61
24,3.0,3.0,30.0,3.0,12.1,25825.316029188027,4718.253588662712,5266.560579348321,5266.558796403038,5286.965278930711,5286.9777858432435,1179.95
25,3.0,3.0,30.0,3.0,12.1,25825.316029188027,4718.253588662712,5266.560579348321,5266.558796403038,5286.965278930711,5286.9777858432435,1147.79
26,3.0,3.0,30.0,3.0,12.1,25825.316029188027,4718.253588662712,5266.560579348321,5266.558796403038,5286.965278930711,5286.9777858432435,1179.30
27,3.0,3.0,30.0,3.0,12.1,25825.316029188027,4718.253588662712,5266.560579348321,5266.558796403038,5286.965278930711,5286.9777858432435,1197.16
28,3.0,3.0,30.0,3.0,12.1,25825.316029188027,4718.253588662712,5266.560579348321,5266.558796403038,5286.965278930711,5286.9777858432435,1178.67
29,3.0,3.0,30.0,3.0,12.1,25825.316029188027,4718.253588662712,5266.560579348321,5266.558796403038,5286.965278930711,5286.9777858432435,1148.44
30,3.0,3.0,30.0,3.0,12.1,25825.316029188027,4718.253588662712,5266.560579348321,5266.558796403038,5286.965278930711,5286.9777858432435,1275.10
31,3.0,3.0,30.0,3.0,12.1,25825.316029188027,4718.253588662712,5266.560579348321,5266.558796403038,5286.965278930711,5286.9777858432435,1336.87
32,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,1148.06
33,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,1179.12
34,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,1054.11
35,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,738.97
36,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,550.29
37,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,377.30
38,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,251.38
39,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,219.87
40,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,172.93
41,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,31.24
42,3.0,3.0,30.0,3.4,10.0,25958.5526591826,3954.2829823388875,5827.785848060131,5827.795840350349,5174.343168013536,5174.344820419699,125.69
