v1,v2,v3,v4,v5,fitness,p1,p2,p3,p4,p5
22.8,17.5,10.9,21.4,15.8,-7474825.35051906,0.0,0.0,0.0,0.0,0.0
6.3,23.9,20.9,6.8,7.8,-4367981.576264695,0.0,0.0,0.0,0.0,0.0
4.2,19.5,21.5,15.2,4.5,-1000000.0,0.0,0.0,0.0,0.0,0.0
6.8,4.9,26.6,24.7,20.7,19070.507952589232,3004.260487193125,3631.975963417366,3631.977257313657,4401.147593511659,4401.146651153428
4.6,5.4,16.9,19.9,1.5,-7000000.0,0.0,0.0,0.0,0.0,0.0
14.5,18.2,22.7,9.2,19.4,-828145.6295954506,0.0,0.0,0.0,0.0,0.0
17.4,17.9,12.2,12.0,10.4,-7663063.589367094,0.0,0.0,0.0,0.0,0.0
17.9,12.6,12.0,15.4,12.8,-14175912.088575583,0.0,0.0,0.0,0.0,0.0
22.9,10.3,2.9,15.1,12.3,-4200000.0,0.0,0.0,0.0,0.0,0.0
14.0,3.0,16.2,6.8,12.9,-9934216.374270706,0.0,0.0,0.0,0.0,0.0
18.2,18.2,14.1,11.9,2.8,-10611599.077485457,0.0,0.0,0.0,0.0,0.0
24.8,16.5,4.6,7.8,26.7,-1821064.3080282302,0.0,0.0,0.0,0.0,0.0
3.6,5.1,22.5,24.5,20.2,19812.068731737032,4623.838071390146,3387.931175191925,3387.9209216007494,4206.18952541838,4206.189038135832
19.0,14.8,9.5,6.7,15.5,9656.527618213826,2695.3728456351714,1601.468780484368,1601.4705387666331,1879.1113618121435,1879.10409151551
7.6,24.1,15.8,6.3,14.2,16324.88920668542,1026.6951319681002,2268.332308086217,2268.330608579248,5380.763241543833,5380.767916508022
3.1,21.2,22.9,20.2,10.0,16486.379649735347,2457.666105640225,3273.4240630618033,3273.429798686849,3740.931187631728,3740.9284947147426
19.5,24.3,28.5,23.9,3.0,-13349178.435444523,0.0,0.0,0.0,0.0,0.0
12.3,12.3,28.5,8.2,11.3,5171.808386337731,2244.6142742858606,1012.3136775603293,1012.3148705607563,451.28298243588324,451.282581494901
16.4,23.1,18.0,4.4,13.7,17101.449161241137,1350.6463633797218,2909.8522797179917,2909.8501252764754,4965.546874592179,4965.553518274772
22.5,7.8,1.4,7.0,18.0,-7200000.0,0.0,0.0,0.0,0.0,0.0
16.7,3.0,7.0,12.5,6.8,-5010796.977970697,0.0,0.0,0.0,0.0,0.0
4.1,7.5,2.4,18.1,7.5,-16876539.181326076,0.0,0.0,0.0,0.0,0.0
9.0,7.1,12.0,15.0,16.5,-1816490.9877108713,0.0,0.0,0.0,0.0,0.0
4.8,20.2,17.4,3.9,21.6,18334.240472907062,2177.3909998068766,3410.6794007494327,3410.6812717450757,4667.746435201532,4667.742365404147
3.8,5.3,8.9,13.6,23.1,-1948961.248725876,0.0,0.0,0.0,0.0,0.0
11.8,17.0,25.0,16.0,7.9,-2105866.8832491348,0.0,0.0,0.0,0.0,0.0
8.8,22.1,27.4,4.7,15.4,17508.09558111082,2657.761610403402,3062.235627364686,3062.2406537654033,4362.928208170305,4362.929481407024
12.1,3.0,23.8,4.2,3.8,-4867173.644845506,0.0,0.0,0.0,0.0,0.0
18.9,16.1,27.2,22.7,8.8,-829188.8538851815,0.0,0.0,0.0,0.0,0.0
19.0,5.9,13.5,23.4,5.5,-5913126.677647735,0.0,0.0,0.0,0.0,0.0
24.6,16.6,19.8,13.3,9.1,12795.86131891237,4559.8322870407455,1114.324519519368,1114.323137580057,3003.691670516653,3003.689704255546
15.2,20.4,17.5,18.7,8.7,-3319333.1009943704,0.0,0.0,0.0,0.0,0.0
24.6,4.4,29.0,10.4,8.6,13105.288221711178,4679.42307001893,3838.2306495662515,3838.2316867851164,374.70216054252046,374.70065479836006
6.6,10.5,6.1,6.7,8.9,-18278205.975071575,0.0,0.0,0.0,0.0,0.0
12.3,4.8,9.3,17.6,23.4,15569.751173986468,3471.3972043826107,2954.301057193843,2954.284227567897,3094.882580834838,3094.88610400728
24.4,16.3,11.6,14.3,14.8,-12452815.094354715,0.0,0.0,0.0,0.0,0.0
24.0,15.9,15.6,23.3,22.2,-168711.59001513547,0.0,0.0,0.0,0.0,0.0
5.7,24.5,18.2,3.8,13.9,19321.09685028346,3100.7296837378985,3798.0693799802907,3798.0668954157773,4312.1177183453365,4312.1131728041555
3.6,20.7,7.7,13.5,29.2,12033.128115752368,2925.606003254765,896.4062236034392,896.4026314284926,3657.3609763628365,3657.352281102836
20.8,19.0,26.2,20.0,4.6,-11461905.976057,0.0,0.0,0.0,0.0,0.0
3.1,19.1,14.1,15.4,13.1,-12334492.841305276,0.0,0.0,0.0,0.0,0.0
22.5,11.6,4.0,9.1,28.7,-2000000.0,0.0,0.0,0.0,0.0,0.0
24.8,7.8,3.7,5.4,24.8,-2599999.9999999995,0.0,0.0,0.0,0.0,0.0
24.8,3.3,18.7,7.5,24.9,-5022683.818520757,0.0,0.0,0.0,0.0,0.0
22.2,23.1,26.8,19.6,14.1,19118.34473993864,5191.403733937188,2606.5130225701464,2606.514321421136,4356.954399352842,4356.959262657324
17.7,22.6,24.3,24.4,14.9,-858422.2175913609,0.0,0.0,0.0,0.0,0.0
22.2,18.9,22.2,8.7,12.1,14351.423781966861,5358.560702476382,489.57420249088074,489.5711442425898,4006.861150945675,4006.8565818113325
12.1,3.8,0.6,14.6,5.2,-20617185.633505438,0.0,0.0,0.0,0.0,0.0
24.6,18.6,3.2,6.1,29.3,-10000000.0,0.0,0.0,0.0,0.0,0.0
13.6,17.9,5.9,15.7,18.7,-5398630.201244817,0.0,0.0,0.0,0.0,0.0
18.9,10.6,0.3,24.8,25.9,-12789160.16572311,0.0,0.0,0.0,0.0,0.0
17.8,23.4,9.1,22.2,28.0,21318.37661073113,3306.184495555562,5493.595184455758,5493.588047540909,3512.5048990527116,3512.503984126193
21.5,21.3,9.7,22.9,20.3,-595876.7268397303,0.0,0.0,0.0,0.0,0.0
18.9,8.1,7.1,5.5,4.4,-13703334.074403476,0.0,0.0,0.0,0.0,0.0
14.4,19.1,1.8,21.4,22.3,-16334216.374270704,0.0,0.0,0.0,0.0,0.0
20.5,20.7,7.2,17.4,4.8,-26405527.508734126,0.0,0.0,0.0,0.0,0.0
6.3,17.8,4.4,20.3,29.3,-1199999.9999999993,0.0,0.0,0.0,0.0,0.0
17.6,3.0,4.7,19.6,29.9,-599999.9999999997,0.0,0.0,0.0,0.0,0.0
20.2,19.4,19.4,9.2,1.2,-7600000.0,0.0,0.0,0.0,0.0,0.0
4.2,17.7,17.9,17.1,24.5,-6745566.779375285,0.0,0.0,0.0,0.0,0.0
13.5,17.8,20.5,4.3,21.1,16847.27579807833,429.29257081238455,4095.59651528044,4095.579269407393,4113.394630312079,4113.412812266034
23.7,16.4,15.5,18.1,26.5,14239.734472583732,5704.423283722303,1597.5401651423674,1597.5447228096148,2670.1112808645817,2670.115020044867
20.1,23.1,10.1,9.5,1.5,-7000000.0,0.0,0.0,0.0,0.0,0.0
23.3,6.1,15.3,19.3,15.8,16412.96731834162,3031.9933925023656,2331.1247724901423,2331.130028348342,4359.358671352934,4359.360453647839
21.4,22.5,7.4,24.2,23.4,-5037379.908585528,0.0,0.0,0.0,0.0,0.0
7.0,16.1,14.4,4.2,15.9,16717.846104708533,700.1634583866861,4234.731778479402,4234.73834596223,3774.10796408241,3774.104557797803
18.8,15.9,6.8,11.1,16.7,-5214872.337379024,0.0,0.0,0.0,0.0,0.0
23.6,10.6,17.8,16.0,8.2,10259.569055806911,3408.7547980114346,352.2685184749561,352.26660489370465,3073.139505889585,3073.13962853723
19.9,8.2,28.4,8.4,12.3,7056.769879733068,3834.9572945406353,984.5944087417259,984.596869477987,626.3105591964754,626.3107477762453
24.3,19.1,29.2,23.6,18.1,19096.937980257542,5451.56641633904,3651.836690853722,3651.8455467534222,3170.8400380181597,3170.8492882932005
7.4,21.1,12.1,22.5,24.9,16537.533276688664,886.5500129397202,4154.460543365698,4154.460808716332,3671.028188100121,3671.033723566793
17.5,5.4,9.7,11.8,27.6,9341.575176058743,4715.033102467421,2053.8018367523932,2053.804907894497,259.4676824307245,259.4676465137069
15.0,5.3,8.3,20.3,0.4,-18569854.187265348,0.0,0.0,0.0,0.0,0.0
19.9,10.7,19.5,3.9,1.7,-6600000.0,0.0,0.0,0.0,0.0,0.0
13.0,9.6,20.9,9.2,0.9,-20389750.32409334,0.0,0.0,0.0,0.0,0.0
7.1,17.8,7.6,18.2,14.2,-6775779.79614677,0.0,0.0,0.0,0.0,0.0
17.7,3.8,0.4,7.6,18.5,-9200000.0,0.0,0.0,0.0,0.0,0.0
11.7,3.2,10.1,15.1,7.6,-3348273.3628010843,0.0,0.0,0.0,0.0,0.0
21.6,21.6,26.3,7.7,3.0,-4000000.0,0.0,0.0,0.0,0.0,0.0
21.7,23.0,28.9,4.1,14.3,21766.84468037496,3558.1865313437934,3385.5119087106095,3385.5124731448736,5718.807565040454,5718.826202135232
13.6,3.2,13.1,3.1,14.2,-17790927.79656255,0.0,0.0,0.0,0.0,0.0
12.8,21.4,0.6,17.6,1.2,-53159064.80739579,0.0,0.0,0.0,0.0,0.0
8.5,10.8,19.2,20.7,3.5,-3000000.0,0.0,0.0,0.0,0.0,0.0
24.6,17.9,11.4,24.4,8.9,-8267117.908051023,0.0,0.0,0.0,0.0,0.0
22.0,13.5,17.9,24.4,22.2,16313.920363641413,6043.320953648376,355.95929204409583,355.9589368344223,4779.340997939732,4779.340183174788
3.3,20.8,14.7,15.5,4.6,-800000.0000000007,0.0,0.0,0.0,0.0,0.0
10.8,10.2,24.4,8.7,2.2,-19517237.469701774,0.0,0.0,0.0,0.0,0.0
13.4,4.0,23.2,9.0,22.0,-9716031.894254047,0.0,0.0,0.0,0.0,0.0
23.9,10.2,7.4,5.8,19.5,9052.232803316108,4664.219157167118,2034.4906275975407,2034.4905806995353,159.51623727455305,159.51620057736193
12.2,23.1,29.6,16.2,24.7,-3074279.9266914423,0.0,0.0,0.0,0.0,0.0
