iter,v1,v2,v3,v4,v5,v6,v7,fitness,p1,p2,p3,p4,p5,time
1,2.4,3.6,3.0,5.1,30.0,18.2,23.4,17384.92862036033,4244.7264280717045,3135.72348557592,3135.7251433163415,3434.3756155687724,3434.377947827591,959.98
2,2.4,3.6,3.0,5.1,30.0,18.2,23.4,17384.92862036033,4244.7264280717045,3135.72348557592,3135.7251433163415,3434.3756155687724,3434.377947827591,1091.34
3,2.5,3.6,4.0,3.0,30.0,25.0,20.7,19385.159527365908,4413.297698840932,5512.029557872369,5512.027177771632,1973.9018910999855,1973.9032017809914,1096.23
4,2.3,5.0,3.0,3.0,30.0,25.0,6.5,20060.2180598678,5989.501069907876,4388.272995130878,4388.266658611365,2647.0881526637845,2647.089183553898,1351.48
5,2.3,5.0,3.0,3.0,30.0,25.0,6.5,20060.2180598678,5989.501069907876,4388.272995130878,4388.266658611365,2647.0881526637845,2647.089183553898,1437.67
6,2.5,5.0,3.0,25.0,30.0,5.8,18.0,21788.61571347801,6345.583021519085,3293.3110489214323,3293.308818443042,4428.206048070422,4428.206776524031,1284.57
7,2.5,5.0,3.0,25.0,30.0,3.0,16.7,23407.243875893557,6714.387501055751,4106.2610264768155,4106.257415012834,4240.161855586172,4240.176077761985,1379.48
8,2.5,5.0,3.0,25.0,30.0,3.0,16.7,23407.243875893557,6714.387501055751,4106.2610264768155,4106.257415012834,4240.161855586172,4240.176077761985,1348.01
9,2.5,4.8,3.0,25.0,30.0,3.8,18.8,23415.41921943831,6615.91376315004,4159.659323378553,4159.659676133136,4240.089839882702,4240.0966168938785,1314.23
10,2.5,4.8,3.2,3.0,30.0,22.2,30.0,23442.831906876465,5796.148150143274,5309.929603451851,5309.9373505793765,3513.4101594132107,3513.4066432887535,1358.02
11,2.5,4.7,3.0,5.5,12.0,3.0,30.0,23824.415927956543,4977.555095188453,5186.298455988262,5186.298314053598,4237.13438575994,4237.1296769662895,1326.44
