v1,v2,v3,v4,v5,v6,v7,fitness,p1,p2,p3,p4,p5
2.2,1.6,12.8,19.8,24.8,16.2,28.3,-7558087.831493446,0.0,0.0,0.0,0.0,0.0
2.3,4.7,9.5,23.9,18.2,15.3,1.4,-12866852.887858957,0.0,0.0,0.0,0.0,0.0
1.0,4.4,16.7,13.1,26.7,19.4,17.2,4791.286034212849,1085.7903033328603,543.8398334221373,543.8398349924736,1308.9098698529708,1308.9061926124066
1.0,2.0,20.5,23.6,2.4,15.0,17.8,-159081.68643493426,0.0,0.0,0.0,0.0,0.0
1.8,4.2,11.4,10.5,5.2,19.4,4.9,-3845380.15843299,0.0,0.0,0.0,0.0,0.0
0.7,4.0,20.8,3.2,23.7,15.0,10.8,1507.8432130706326,159.6348987907199,301.1392036276884,301.13905434889267,372.96547430649565,372.9645819968359
1.6,3.6,6.0,18.4,7.1,13.1,13.0,5014.129311681039,445.8248509702142,925.5656908773649,925.5641836112801,1358.5872448188688,1358.587341403311
2.3,0.8,12.0,22.8,27.7,21.3,19.6,-1924563.7387048262,0.0,0.0,0.0,0.0,0.0
1.5,1.7,14.7,5.6,19.9,23.5,9.4,2070.7650051928786,393.7161726916276,132.012448345223,132.0123597671009,706.512406842783,706.5116175461437
0.6,1.9,11.3,8.2,13.3,18.1,7.8,479.2009907330543,31.58316035962228,159.78671145255996,159.78650669195144,64.02230957728442,64.02230265163622
1.6,3.6,22.0,5.1,7.5,18.2,3.8,-2051976.9259644782,0.0,0.0,0.0,0.0,0.0
1.4,1.3,16.7,17.4,16.1,20.6,20.1,-955001.2201074373,0.0,0.0,0.0,0.0,0.0
1.1,1.7,7.1,13.2,22.4,8.8,10.6,1719.3044054168595,392.83458006105866,499.9089721602264,499.90958963674234,163.3256419139898,163.32562164484207
1.4,3.9,21.3,19.5,11.9,13.5,11.6,4883.440410248035,1137.1006768392442,1117.1993469070742,1117.1956727218335,755.973253244737,755.971460535146
1.5,0.8,8.5,9.7,18.9,15.8,9.4,2949.4463118261033,470.8973267202735,514.7617566329404,514.7621016075917,724.5125944076949,724.512532457603
0.7,4.6,13.2,15.9,4.8,22.9,26.0,1733.9955169257983,385.07826543350075,506.40955846554994,506.41094741326896,168.04858035971708,168.04816525376157
1.0,2.6,9.5,10.1,9.2,21.6,11.8,1678.1947188007446,357.7818101894267,392.7992761975529,392.8008247385304,267.4073873049241,267.4054203703102
1.9,4.8,16.3,18.4,10.2,7.8,6.2,6554.06537015544,1313.5735393352522,445.26999743050783,445.2683755888866,2174.9767125820026,2174.9767452187907
1.4,1.5,11.2,23.9,25.6,9.4,8.9,3116.5559978768583,953.2390922509879,677.0848665059316,677.0847533412928,404.5736292500089,404.57365652863734
0.5,3.4,20.6,8.1,17.5,19.0,12.5,41.554296312393156,14.71363393336558,8.270815585013134,8.27080136123017,5.149524300292268,5.149521132492004
1.0,5.0,4.2,22.5,12.6,14.2,4.3,1499.2144066256014,457.103066551685,161.7728381740516,161.773005563128,359.28305769716854,359.28243863956817
1.9,4.8,5.9,17.7,13.0,16.7,16.2,-8494778.154303916,0.0,0.0,0.0,0.0,0.0
0.6,2.0,18.7,17.6,6.3,13.6,11.5,412.7818715439103,82.33547580847603,37.8787073269927,37.878840701339705,127.34428700172032,127.34456070538151
2.3,3.7,20.8,4.3,1.4,8.7,6.0,-13250341.029703649,0.0,0.0,0.0,0.0,0.0
1.9,0.5,18.6,15.5,8.7,23.2,17.2,4295.02430970179,705.3545518085311,691.549091473639,691.5494063717634,1103.2859523916534,1103.285307656203
2.0,1.3,19.7,7.8,22.9,20.2,6.1,-3759085.001520516,0.0,0.0,0.0,0.0,0.0
2.2,2.4,7.7,16.0,23.5,19.6,1.8,-5200000.000000001,0.0,0.0,0.0,0.0,0.0
1.5,4.3,9.8,3.7,7.5,8.2,14.8,3002.9231591252105,482.32874366158046,1149.5003533265995,1149.4993148958201,110.79724043810974,110.7975068031005
1.2,1.5,4.8,4.1,9.3,17.3,25.2,1406.3984275484759,113.7859758766676,126.59429678046537,126.59434149327508,519.7115197271307,519.712293670937
2.1,2.8,9.0,21.0,10.1,20.1,5.2,-6836065.034335082,0.0,0.0,0.0,0.0,0.0
1.0,3.6,9.5,5.1,19.1,21.0,7.7,627.783054427218,151.46551059245976,146.45177232181797,146.4521268996097,91.70687427675772,91.70677033657282
2.1,3.4,14.2,22.8,10.0,21.8,23.5,9486.221914112226,1820.765301520326,2046.9000431048169,2046.900042237284,1785.8288014928212,1785.827725756979
2.1,1.6,10.0,12.2,5.5,9.3,18.1,-4952637.424304091,0.0,0.0,0.0,0.0,0.0
1.8,4.1,9.1,9.8,9.3,12.1,0.6,-14281176.583688658,0.0,0.0,0.0,0.0,0.0
2.1,1.3,20.2,7.6,28.6,21.7,25.3,5811.771071382207,1383.713323600611,622.9008360135031,622.9006668854456,1591.1275185322497,1591.1287263503984
1.1,4.8,22.8,6.3,1.6,3.4,24.0,-1200000.0000000002,0.0,0.0,0.0,0.0,0.0
2.0,2.0,12.0,11.1,8.3,13.7,10.9,-8646089.475659907,0.0,0.0,0.0,0.0,0.0
0.8,0.8,22.2,5.1,12.4,5.5,2.8,716.7627601392192,105.30359470381441,143.41901513108914,143.41899454423162,162.3105731530787,162.31058260700527
2.1,4.8,7.6,17.8,5.8,17.1,6.9,-14192319.037918942,0.0,0.0,0.0,0.0,0.0
0.5,3.8,23.6,12.2,20.2,17.1,7.9,510.19216199664584,77.90768397165182,141.06144450758305,141.06060767753456,75.08124111099008,75.08118472888634
1.4,4.3,3.6,22.6,28.6,5.1,7.8,4481.408253231671,1013.4771411541899,669.2863464528434,669.2863872940753,1064.6794828496536,1064.6788954809083
2.2,0.9,21.0,7.8,11.9,13.4,27.9,7240.491088472564,1756.7135130701638,897.1812734533203,897.181505238404,1844.7079007414436,1844.7068959692326
2.2,1.2,12.8,4.5,28.9,13.4,27.6,8517.285313045686,2043.9101202119566,1104.1794172457353,1104.1812830237582,2132.5077282684992,2132.5067642957365
1.5,2.2,8.3,22.0,13.5,5.2,28.0,2551.5549035685276,448.6966650228765,239.54920997400905,239.54928924023545,811.8796668964081,811.8800724349984
1.0,0.5,18.6,18.1,28.7,8.8,13.5,964.2553412611235,214.81825895272573,165.64779371654825,165.64782645883096,209.07086141651266,209.07060071650588
0.5,1.3,23.9,11.0,21.1,15.4,11.7,225.8281545846061,46.68138430523571,57.460154377368454,57.46021482736329,32.113232985603354,32.11316808903528
