iter,v1,v2,fitness,p1,time
1,2.5,3.8,1487.9176097396835,1487.9176097396835,2.61
2,2.5,5.0,1663.3509934876813,1663.3509934876813,2.97
3,2.5,5.0,1663.3509934876813,1663.3509934876813,2.03
4,2.5,5.0,1663.3509934876813,1663.3509934876813,0.51
5,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
6,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
7,2.5,5.0,1663.3509934876813,1663.3509934876813,0.50
8,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
9,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
10,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
11,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
12,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
13,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
14,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
15,2.5,5.0,1663.3509934876813,1663.3509934876813,0.49
16,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
17,2.5,5.0,1663.3509934876813,1663.3509934876813,1.16
18,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
19,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
20,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
21,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
22,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
23,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
24,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
25,2.5,5.0,1663.3509934876813,1663.3509934876813,0.51
26,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
27,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
28,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
29,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
30,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
31,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
32,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
33,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
34,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
35,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
36,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
37,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
38,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
39,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
40,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
41,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
42,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
43,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
44,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
45,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
46,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
47,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
48,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
49,2.5,5.0,1663.3509934876813,1663.3509934876813,0.53
50,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
51,2.5,5.0,1663.3509934876813,1663.3509934876813,0.49
52,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
53,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
54,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
55,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
56,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
57,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
58,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
59,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
60,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
61,2.5,5.0,1663.3509934876813,1663.3509934876813,0.00
