v1,v2,fitness,p1
1.7,0.9,422.35918181244205,422.35918181244205
2.2,2.6,942.5996521255702,942.5996521255702
1.5,2.6,388.1284738540557,388.1284738540557
2.1,3.9,968.3688206466571,968.3688206466571
1.3,2.4,249.54280381156707,249.54280381156707
0.8,2.8,118.30542684182622,118.30542684182622
1.5,3.8,605.996412971902,605.996412971902
1.9,1.9,600.6253437374095,600.6253437374095
1.8,2.2,557.896788268059,557.896788268059
1.3,2.2,252.8302295683951,252.8302295683951
1.5,3.1,469.14129989110637,469.14129989110637
1.4,1.6,264.4398223272356,264.4398223272356
1.6,1.4,367.555240861956,367.555240861956
0.9,2.0,91.71907184134723,91.71907184134723
1.3,3.5,266.8915986459099,266.8915986459099
1.6,3.5,460.17523249899625,460.17523249899625
2.5,5.0,1663.3509934876813,1663.3509934876813
0.7,1.6,46.83318557440648,46.83318557440648
1.6,3.1,495.44896674813475,495.44896674813475
1.7,4.8,509.3421858135509,509.3421858135509
0.9,4.2,78.69861391852326,78.69861391852326
1.3,4.1,446.03340308694436,446.03340308694436
2.3,0.8,923.4763092595701,923.4763092595701
1.8,1.7,518.9256267480102,518.9256267480102
0.7,4.0,77.31950119704253,77.31950119704253
2.4,0.6,1054.9661024767147,1054.9661024767147
1.4,0.9,253.22196708566082,253.22196708566082
1.3,1.1,207.903105222415,207.903105222415
0.6,3.3,23.994914646187624,23.994914646187624
0.7,2.5,77.35823233857612,77.35823233857612
2.0,1.4,653.3982586687399,653.3982586687399
0.6,2.0,33.54677845102823,33.54677845102823
0.7,1.8,47.504763192954414,47.504763192954414
0.8,4.7,58.30958343443366,58.30958343443366
1.3,4.2,270.47659597034857,270.47659597034857
1.2,2.1,192.88632692000718,192.88632692000718
1.5,5.0,345.8845596979601,345.8845596979601
1.3,1.4,211.85473351274777,211.85473351274777
1.8,0.5,508.84141070896527,508.84141070896527
1.9,2.9,682.4534708802883,682.4534708802883
1.4,3.2,427.3136058348301,427.3136058348301
1.4,4.7,507.26481047252685,507.26481047252685
1.0,3.8,120.02054313483671,120.02054313483671
2.4,3.6,1284.3182570441281,1284.3182570441281
1.6,3.6,540.6452185398385,540.6452185398385
2.5,4.4,1368.8523261162597,1368.8523261162597
2.0,1.8,676.7565512876034,676.7565512876034
2.0,1.6,665.1769209002105,665.1769209002105
1.1,3.2,200.52605190918004,200.52605190918004
2.4,1.2,1031.120028447162,1031.120028447162
1.4,3.0,318.10421681819463,318.10421681819463
1.5,2.8,372.1961994972756,372.1961994972756
2.2,1.7,844.5944530060679,844.5944530060679
0.6,2.8,38.52280080911223,38.52280080911223
0.5,4.4,15.525213571082883,15.525213571082883
1.3,0.9,206.57957998605193,206.57957998605193
2.2,0.5,859.5027879290062,859.5027879290062
0.6,1.0,24.523479511702803,24.523479511702803
2.5,0.5,1157.2496134730227,1157.2496134730227
1.8,0.6,501.08831987243553,501.08831987243553
0.5,2.5,35.22266753229426,35.22266753229426
1.7,2.5,496.40853758138013,496.40853758138013
2.0,2.4,717.2512085833872,717.2512085833872
2.4,0.8,1036.898209611834,1036.898209611834
2.4,2.4,1109.5026049071191,1109.5026049071191
2.3,0.5,947.9109515220058,947.9109515220058
2.1,1.7,758.6318769004926,758.6318769004926
1.8,2.8,631.6572834284885,631.6572834284885
2.0,3.2,836.9733598166764,836.9733598166764
2.0,1.2,648.6003113851552,648.6003113851552
1.8,3.8,622.3234950686195,622.3234950686195
1.0,5.0,105.69703917935662,105.69703917935662
1.2,1.9,191.64611137206742,191.64611137206742
2.1,1.6,743.2805772914171,743.2805772914171
1.8,1.6,506.1454269853095,506.1454269853095
1.7,2.1,463.9605390335604,463.9605390335604
2.2,2.2,885.5398860764948,885.5398860764948
1.8,5.0,737.7530020581418,737.7530020581418
2.0,0.5,669.8914393019026,669.8914393019026
0.8,4.0,55.13093471882025,55.13093471882025
2.2,1.9,867.1734821382016,867.1734821382016
2.4,1.0,1029.2577172583722,1029.2577172583722
1.8,4.7,601.718509334235,601.718509334235
2.5,1.0,1127.3818350121217,1127.3818350121217
1.3,4.3,257.95153892275056,257.95153892275056
2.0,4.9,801.4449148326933,801.4449148326933
2.0,2.3,712.6066932248896,712.6066932248896
2.0,0.8,644.4543987691635,644.4543987691635
2.1,0.5,761.1317862235237,761.1317862235237
2.4,0.5,1059.7535269607195,1059.7535269607195
2.1,1.5,746.4058523016325,746.4058523016325
2.2,2.8,936.4122071272354,936.4122071272354
1.8,4.6,666.2912500454111,666.2912500454111
2.3,3.8,1263.4147451583349,1263.4147451583349
2.2,3.4,991.3311831199336,991.3311831199336
1.6,5.0,488.96901210255976,488.96901210255976
2.2,5.0,1393.4537567039233,1393.4537567039233
2.5,3.0,1301.969041637821,1301.969041637821
2.4,1.7,1054.9629321417424,1054.9629321417424
1.6,4.8,482.0932149295692,482.0932149295692
2.0,2.2,715.6646278734895,715.6646278734895
2.3,2.6,1030.6121834948242,1030.6121834948242
2.2,1.3,819.972755944411,819.972755944411
2.5,2.2,1215.6108930475443,1215.6108930475443
2.5,2.1,1213.1215749315966,1213.1215749315966
2.5,4.2,1380.0958306839639,1380.0958306839639
2.4,2.0,1075.0973333241357,1075.0973333241357
2.2,0.9,821.1654856534147,821.1654856534147
2.5,3.6,1454.5930714620688,1454.5930714620688
2.4,3.9,1387.8438146055273,1387.8438146055273
2.2,0.6,837.9054880203506,837.9054880203506
2.1,0.7,736.600636486178,736.600636486178
2.3,2.1,977.3409316071883,977.3409316071883
2.3,3.4,1089.554511093696,1089.554511093696
2.2,3.0,1004.9711042138705,1004.9711042138705
1.9,4.4,957.0452622419645,957.0452622419645
2.5,1.5,1161.466108321451,1161.466108321451
2.2,4.3,1026.5619915294426,1026.5619915294426
2.4,4.2,1245.8206648176308,1245.8206648176308
2.2,3.6,995.439629170228,995.439629170228
2.2,2.4,928.8488187739384,928.8488187739384
2.3,2.4,1020.6563244216808,1020.6563244216808
2.4,3.3,1193.9542586686978,1193.9542586686978
2.4,3.0,1220.8806220599183,1220.8806220599183
1.8,3.2,603.0974348172573,603.0974348172573
2.2,0.8,835.2904239266813,835.2904239266813
2.4,5.0,1757.6566837598543,1757.6566837598543
2.5,0.8,1135.0313809780207,1135.0313809780207
2.3,4.0,1300.8320922961982,1300.8320922961982
2.4,3.8,1413.0120184427067,1413.0120184427067
2.2,1.5,829.8067628487772,829.8067628487772
2.3,4.5,1170.0149959525909,1170.0149959525909
2.5,2.6,1244.8668376763014,1244.8668376763014
2.5,3.1,1312.2963796591312,1312.2963796591312
2.5,2.0,1208.4909870071522,1208.4909870071522
2.5,4.0,1382.6851014667552,1382.6851014667552
2.5,1.3,1147.057688937205,1147.057688937205
2.5,0.6,1153.6592612554346,1153.6592612554346
2.5,1.6,1158.3282334712223,1158.3282334712223
1.7,5.0,707.512191346691,707.512191346691
2.3,5.0,1695.2384078443913,1695.2384078443913
